"file","root_pixels_count"
"AF_A20_E_2024-04-16_18H01M.png",1102994
"AF_A20_E_2024-04-17_00H01M.png",1118865
"AF_A20_E_2024-04-17_06H00M.png",1109662
"AF_A20_E_2024-04-17_12H01M.png",1087557
"AF_A20_E_2024-04-17_18H01M.png",153552
"AF_A20_E_2024-04-18_00H01M.png",1131246
"AF_A20_E_2024-04-18_06H00M.png",1119844
"AF_A20_E_2024-04-18_12H00M.png",1122614
"AF_A20_E_2024-04-18_18H00M.png",1130575
"AF_A20_E_2024-04-19_00H01M.png",1154610
"AF_A20_E_2024-04-19_06H01M.png",1125295
"AF_A20_E_2024-04-19_12H01M.png",960412
"AF_A20_E_2024-04-19_18H01M.png",1094415
"AF_A20_E_2024-04-20_00H01M.png",1108798
"AF_A20_E_2024-04-20_06H00M.png",1138863
"AF_A20_E_2024-04-20_12H01M.png",1074458
"AF_A20_E_2024-04-20_18H01M.png",1096090
"AF_A20_E_2024-04-21_00H00M.png",1099739
"AF_A20_E_2024-04-21_06H01M.png",1124146
"AF_A20_E_2024-04-21_12H00M.png",1006881
"AF_A20_E_2024-04-21_18H01M.png",1070533
"AF_A20_E_2024-04-22_00H00M.png",1093763
"AF_A20_E_2024-04-22_12H00M.png",784121
"AF_A20_E_2024-04-22_18H00M.png",153552
"AF_A20_E_2024-04-23_00H01M.png",1025712
"AF_A20_E_2024-04-23_06H01M.png",973224
"AF_A20_E_2024-04-23_12H01M.png",770064
"AF_A20_E_2024-04-23_18H00M.png",899741
"AF_A20_E_2024-04-24_00H01M.png",961958
"AF_A20_E_2024-04-24_06H01M.png",910036
"AF_A20_E_2024-04-24_12H01M.png",767802
"AF_A20_E_2024-04-24_18H01M.png",883317
"AF_A20_E_2024-04-25_00H00M.png",902655
"AF_A20_E_2024-04-25_06H00M.png",916781
"AF_A20_E_2024-04-25_12H00M.png",887289
"AF_A20_E_2024-04-25_18H00M.png",885463
"AF_A20_E_2024-04-26_00H00M.png",878097
"AF_A20_E_2024-04-26_06H00M.png",890242
"AF_A20_E_2024-04-26_12H01M.png",865953
"AF_A20_E_2024-04-26_18H00M.png",856332
"AF_A20_E_2024-04-27_00H01M.png",153552
"AF_A20_E_2024-04-27_06H00M.png",855078
"AF_A20_E_2024-04-27_12H00M.png",153552
"AF_A20_E_2024-04-27_18H01M.png",842907
"AF_A20_E_2024-04-28_00H01M.png",153552
"AF_A20_E_2024-04-28_06H00M.png",153552
"AF_A20_E_2024-04-28_12H00M.png",835701
"AF_A20_E_2024-04-28_18H00M.png",224609
"AF_A20_E_2024-04-29_00H00M.png",153552
"AF_A20_E_2024-04-29_12H01M.png",856689
"AF_A20_E_2024-04-29_18H00M.png",153552
"AF_A20_E_2024-04-30_00H00M.png",153552
"AF_A20_E_2024-04-30_06H01M.png",246177
"AF_A20_E_2024-04-30_12H01M.png",844741
"AF_A20_E_2024-04-30_18H00M.png",844819
"AF_A20_E_2024-05-01_00H01M.png",842076
"AF_A20_E_2024-05-01_06H00M.png",858694
"AF_A20_E_2024-05-01_12H00M.png",857826
"AF_A20_E_2024-05-01_18H01M.png",779828
"AF_A20_E_2024-05-02_00H00M.png",666350
"AF_A20_E_2024-05-02_06H01M.png",647632
"AF_A20_E_2024-05-02_12H00M.png",204115
"AF_A20_E_2024-05-02_18H01M.png",184313
"AF_A20_E_2024-05-03_00H00M.png",153552
"AF_A20_E_2024-05-03_06H00M.png",153552
"AF_A20_E_2024-05-03_12H01M.png",614409
"AF_A20_E_2024-05-03_18H00M.png",153552
"AF_A20_E_2024-05-04_00H00M.png",219307
"AF_A20_E_2024-05-04_12H00M.png",744818
"AF_A20_E_2024-05-04_18H00M.png",212386
"AF_A20_E_2024-05-05_00H00M.png",153552
"AF_A20_E_2024-05-05_06H00M.png",218629
"AF_A20_E_2024-05-05_12H00M.png",780361
"AF_A20_E_2024-05-05_18H00M.png",215295
"AF_A20_E_2024-05-06_00H00M.png",236134
"AF_A20_E_2024-05-06_06H00M.png",215029
"AF_A20_E_2024-05-06_12H00M.png",209268
"AF_A20_E_2024-05-07_00H00M.png",226155
"AF_A20_E_2024-05-07_06H00M.png",204467
"AF_A20_E_2024-05-07_12H00M.png",778426
"AF_A20_E_2024-05-07_18H00M.png",153552
"AF_A20_E_2024-05-08_00H00M.png",148491
"AF_A20_E_2024-05-08_06H00M.png",202425
"AF_A20_E_2024-05-08_12H00M.png",816462
"AF_A20_E_2024-05-08_18H00M.png",213420
"AF_A20_E_2024-05-09_00H00M.png",395164
"AF_A20_E_2024-05-09_06H00M.png",210953
"AF_A20_E_2024-05-09_12H00M.png",851531
"AF_A20_E_2024-05-09_18H00M.png",242503
"AF_A20_E_2024-05-10_00H00M.png",178187
"AF_A20_E_2024-05-10_06H00M.png",204476
"AF_A20_E_2024-05-10_12H00M.png",864700
"AF_A20_E_2024-05-10_18H00M.png",153552
"AF_A20_E_2024-05-11_00H00M.png",243340
"AF_A20_E_2024-05-11_06H00M.png",219979
"AF_A20_E_2024-05-11_12H00M.png",869650
"AF_A20_E_2024-05-11_18H00M.png",153552
"AF_A20_E_2024-05-12_00H00M.png",153552
"AF_A20_E_2024-05-12_06H00M.png",266846
"AF_A20_E_2024-05-12_12H00M.png",866648
"AF_A20_E_2024-05-12_18H00M.png",217308
"AF_A20_E_2024-05-13_00H00M.png",211584
"AF_A20_E_2024-05-13_06H00M.png",178113
"AF_A20_E_2024-05-13_12H00M.png",867791
"AF_A20_E_2024-05-13_18H00M.png",226626
"AF_A20_E_2024-05-14_00H00M.png",852249
"AF_A20_E_2024-05-14_06H00M.png",856200
"AF_A20_E_2024-05-14_12H00M.png",449904
"AF_A20_E_2024-05-14_18H00M.png",218770
"AF_A20_E_2024-05-15_00H00M.png",819875
"AF_A20_E_2024-05-15_06H00M.png",346809
"AF_A20_E_2024-05-15_12H00M.png",859267
"AF_A20_E_2024-05-15_18H00M.png",209731
"AF_A20_E_2024-05-16_00H00M.png",892311
"AF_A20_E_2024-05-16_06H00M.png",291576
"AF_A20_E_2024-05-16_12H00M.png",200227
"AF_A20_E_2024-05-16_18H00M.png",227848
"AF_A20_E_2024-05-17_00H00M.png",939067
"AF_A20_E_2024-05-17_06H00M.png",153552
"AF_A20_E_2024-05-17_12H00M.png",951681
"AF_A20_E_2024-05-17_18H00M.png",962691
"AF_A20_E_2024-05-18_00H00M.png",951741
"AF_A20_E_2024-05-18_06H00M.png",872835
"AF_A20_E_2024-05-18_12H00M.png",153552
"AF_A20_E_2024-05-18_18H00M.png",153552
"AF_A20_E_2024-05-19_00H00M.png",914021
"AF_A20_E_2024-05-19_06H00M.png",323679
"AF_A20_E_2024-05-19_12H00M.png",927718
"AF_A20_E_2024-05-19_18H00M.png",922423
"AF_A20_E_2024-05-20_00H00M.png",932746
"AF_A20_E_2024-05-20_06H00M.png",923905
"AF_A20_E_2024-05-20_12H00M.png",936867
"AF_A20_E_2024-05-20_18H00M.png",941330
"AF_A20_E_2024-05-21_00H00M.png",949852
"AF_A20_E_2024-05-21_06H00M.png",197599
"AF_A20_E_2024-05-21_12H00M.png",951260
"AF_A20_E_2024-05-21_18H00M.png",951626
"AF_A20_E_2024-05-22_00H00M.png",942631
"AF_A20_E_2024-05-22_06H00M.png",936330
"AF_A20_E_2024-05-22_12H00M.png",936477
"AF_A20_E_2024-05-22_18H00M.png",188417
"AF_A20_E_2024-05-23_00H00M.png",338264
"AF_A20_E_2024-05-23_06H00M.png",458518
"AF_A20_E_2024-05-23_12H00M.png",934879
"AF_A20_E_2024-05-23_18H00M.png",173979
"AF_A20_E_2024-05-24_00H00M.png",912368
"AF_A20_E_2024-05-24_06H00M.png",241164
"AF_A20_E_2024-05-24_12H00M.png",920067
"AF_A20_E_2024-05-24_18H00M.png",242782
"AF_A20_E_2024-05-25_00H00M.png",613708
"AF_A20_E_2024-05-25_06H00M.png",948381
"AF_A20_E_2024-05-25_12H00M.png",942216
"AF_A20_E_2024-05-25_18H00M.png",229745
"AF_A20_E_2024-05-26_00H00M.png",957223
"AF_A20_E_2024-05-26_06H00M.png",248717
"AF_A20_E_2024-05-26_12H00M.png",153552
"AF_A20_E_2024-05-26_18H00M.png",964907
"AF_A20_E_2024-05-27_00H00M.png",973633
"AF_A20_E_2024-05-27_06H00M.png",979598
"AF_A20_E_2024-05-27_12H00M.png",976591
"AF_A20_E_2024-05-27_12H43M.png",973416
"AF_A20_E_2024-05-27_17H00M.png",972033
"AF_A20_E_2024-05-27_18H00M.png",978893
"AF_A20_E_2024-05-28_00H00M.png",972991
"AF_A20_E_2024-05-28_06H01M.png",990150
"AF_A20_E_2024-05-28_12H01M.png",966417
"AF_A20_E_2024-05-28_18H00M.png",953952
"AF_A20_E_2024-05-29_00H00M.png",953628
"AF_A20_E_2024-05-29_06H00M.png",970262
"AF_A20_E_2024-05-29_12H01M.png",960111
"AF_A20_E_2024-05-29_18H01M.png",959087
"AF_A20_E_2024-05-30_00H00M.png",955014
"AF_A20_E_2024-05-30_06H01M.png",959803
"AF_A20_E_2024-05-30_12H00M.png",944867
"AF_A20_E_2024-05-30_18H00M.png",928714
"AF_A20_E_2024-05-31_00H00M.png",929674
"AF_A20_E_2024-05-31_06H00M.png",932067
"AF_A20_E_2024-05-31_12H01M.png",915675
"AF_A20_E_2024-05-31_18H00M.png",901625
"AF_A20_E_2024-06-01_00H01M.png",898998
"AF_A20_E_2024-06-01_06H00M.png",900621
"AF_A20_E_2024-06-01_12H01M.png",885207
"AF_A20_E_2024-06-01_18H00M.png",873591
"AF_A20_E_2024-06-02_00H00M.png",878023
"AF_A20_E_2024-06-02_06H01M.png",877843
"AF_A20_E_2024-06-02_18H00M.png",855862
"AF_A20_E_2024-06-03_00H01M.png",846809
"AF_A20_E_2024-06-03_06H00M.png",842720
"AF_A20_E_2024-06-03_12H00M.png",835937
"AF_A20_E_2024-06-03_18H00M.png",824767
"AF_A20_E_2024-06-04_00H01M.png",811061
"AF_A20_E_2024-06-04_06H01M.png",804190
"AF_A20_E_2024-06-04_12H00M.png",792703
"AF_A20_E_2024-06-04_18H00M.png",784594
"AF_A20_E_2024-06-05_00H00M.png",780229
"AF_A20_E_2024-06-05_06H01M.png",781243
"AF_A20_E_2024-06-05_18H00M.png",764161
"AF_A20_E_2024-06-06_00H00M.png",757834
"AF_A20_E_2024-06-06_06H00M.png",756969
"AF_A20_E_2024-06-06_12H01M.png",753653
"AF_A20_E_2024-06-06_18H00M.png",741826
"AF_A20_E_2024-06-07_00H01M.png",737896
"AF_A20_E_2024-06-07_06H00M.png",742030
"AF_A20_E_2024-06-07_12H01M.png",732041
"AF_A20_E_2024-06-07_18H00M.png",720354
"AF_A20_E_2024-06-08_00H01M.png",716951
"AF_A20_E_2024-06-08_06H00M.png",719149
"AF_A20_E_2024-06-08_12H00M.png",711921
"AF_A20_E_2024-06-08_18H01M.png",704705
"AF_A20_E_2024-06-09_00H00M.png",687200
"AF_A20_E_2024-06-09_06H00M.png",708687
"AF_A20_E_2024-06-09_12H01M.png",705816
"AF_A20_E_2024-06-09_18H00M.png",702903
"AF_A20_E_2024-06-10_00H00M.png",684564
"AF_A20_E_2024-06-10_06H00M.png",700728
"AF_A20_E_2024-06-10_12H01M.png",693666
"AF_A20_E_2024-06-10_18H00M.png",687386
"AF_A20_E_2024-06-11_00H01M.png",683263
"AF_A20_E_2024-06-11_06H00M.png",683684
"AF_A20_E_2024-06-11_12H01M.png",676666
"AF_A20_E_2024-06-11_18H01M.png",670581
"AF_A20_E_2024-06-12_00H00M.png",663507
"AF_A20_E_2024-06-12_06H00M.png",666412
"AF_A20_E_2024-06-12_12H01M.png",660836
"AF_A20_E_2024-06-12_18H00M.png",653017
"AF_A20_E_2024-06-13_00H01M.png",649709
"AF_A20_E_2024-06-13_06H01M.png",650192
"AF_A20_E_2024-06-13_12H01M.png",641564
"AF_A20_E_2024-06-13_18H01M.png",639385
"AF_A20_E_2024-06-14_00H01M.png",635926
"AF_A20_E_2024-06-14_06H01M.png",636066
"AF_A20_E_2024-06-14_12H01M.png",629954
"AF_A20_E_2024-06-14_18H01M.png",628058
"AF_A20_E_2024-06-15_00H01M.png",625882
"AF_A20_E_2024-06-15_06H01M.png",623385
"AF_A20_E_2024-06-15_12H00M.png",619893
"AF_A20_E_2024-06-15_18H01M.png",614901
"AF_A20_E_2024-06-16_00H01M.png",612063
"AF_A20_E_2024-06-16_06H01M.png",610693
"AF_A20_E_2024-06-16_12H00M.png",604574
"AF_A20_E_2024-06-16_18H01M.png",599211
"AF_A20_E_2024-06-17_00H00M.png",598062
"AF_A20_E_2024-06-17_06H01M.png",597529
"AF_A20_E_2024-06-17_12H00M.png",594198
"AF_A20_E_2024-06-17_18H00M.png",585730
"AF_A20_E_2024-06-18_00H00M.png",577990
"AF_A20_E_2024-06-18_06H00M.png",583960
